时间,杭州,广州,票差
18:19,147123728,145796672,1327056
18:18,147042920,145718429,1324491
18:17,146940794,145670746,1270048
18:16,146859527,145554622,1304905
18:15,146774535,145484175,1290360
18:13,146681330,145403614,1277716
18:12,146563549,145318440,1245109
18:11,146487839,145214156,1273683
18:10,146405634,145153225,1252409
18:09,146317668,145076622,1241046
18:08,146217572,144896535,1321037
18:07,146131234,144836392,1294842
18:06,146041841,144774736,1267105
18:05,145932105,144705116,1226989
18:04,145846407,144653106,1193301
18:03,145756989,144594101,1162888
18:02,145652509,144522312,1130197
18:01,145554932,144464303,1090629
18:00,145473480,144375987,1097493
17:59,145382939,144289356,1093583
17:58,145297175,144209083,1088092
17:57,145208625,144154306,1054319
17:56,145144585,144076125,1068460
17:55,145046364,143993677,1052687
17:54,144980200,143909333,1070867
17:53,144891380,143844724,1046656
17:52,144820229,143772037,1048192
17:51,144716391,143330379,1386012
17:50,144625248,143256507,1368741
17:48,144533337,143146939,1386398
17:47,144442849,143072146,1370703
17:46,144367993,142994535,1373458
17:45,144273795,142904247,1369548
17:44,144149072,142818314,1330758
17:43,144065563,142737636,1327927
17:42,143989036,142644639,1344397
17:41,143899240,142572876,1326364
17:40,143811232,142472621,1338611
17:39,143732390,142390394,1341996
17:38,143622545,142304066,1318479
17:37,143541195,142214542,1326653
17:36,143450801,142148764,1302037
17:35,143354299,142064910,1289389
17:34,143302470,141996508,1305962
17:33,143218448,141936819,1281629
17:32,143121055,141865273,1255782
17:31,143041087,141781696,1259391
17:30,142941104,141681483,1259621
17:29,142861481,141614526,1246955
17:28,142772581,141551616,1220965
17:27,142678715,141459349,1219366
17:26,142587737,141389079,1198658
17:24,142497275,141276266,1221009
17:23,142421112,141216045,1205067
17:22,142327652,141148244,1179408
17:21,142232761,141084425,1148336
17:20,142139690,141004227,1135463
17:19,142044954,140912967,1131987
17:18,141969121,140833440,1135681
17:17,141892500,140745257,1147243
17:16,141798299,140649494,1148805
17:15,141706469,140547437,1159032
17:14,141572114,140435928,1136186
17:13,141442381,140325011,1117370
17:12,141312880,140225514,1087366
17:11,141208254,140105492,1102762
17:10,141098870,140031485,1067385
17:09,141034871,139939803,1095068
17:08,140893353,139839311,1054042
17:07,140802888,139731228,1071660
17:06,140706958,139616688,1090270
17:05,140594918,139481777,1113141
17:04,140457803,139372882,1084921
17:02,140373728,139264537,1109191
17:01,140237823,139144753,1093070
17:00,140104115,139035065,1069050
16:59,139978398,138928394,1050004
16:58,139883301,138835967,1047334
16:57,139753859,138741959,1011900
16:56,139624921,138667102,957819
16:55,139540939,138581516,959423
16:54,139439907,138462235,977672
16:53,139337136,138350956,986180
16:52,139230608,138263684,966924
16:51,139146794,138157172,989622
16:50,139034376,138047898,986478
16:49,138941325,137958061,983264
16:48,138841006,137798959,1042047
16:47,138750733,137725495,1025238
16:46,138653046,137638627,1014419
16:45,138551938,137538534,1013404
16:44,138449016,137418924,1030092
16:43,138356469,137251984,1104485
16:42,138260726,137141369,1119357
16:40,138056647,136906007,1150640
16:39,137954005,136815205,1138800
16:37,137759802,136585227,1174575
16:36,137661346,136480427,1180919
16:35,137559523,136368961,1190562
16:33,137448541,136244312,1204229
16:32,137327510,136092666,1234844
16:31,137201659,136005402,1196257
16:29,137010423,135793923,1216500
16:28,136900649,135696147,1204502
16:27,136804965,135535082,1269883
16:26,136646371,135334723,1311648
16:24,136535559,135199129,1336430
16:23,136435747,135044425,1391322
16:22,136299808,134873290,1426518
16:21,136176764,134765097,1411667
16:20,136100111,134658222,1441889
16:19,136005231,134546335,1458896
16:18,135921026,134435899,1485127
16:16,135759774,134242502,1517272
16:15,135624196,134139192,1485004
16:14,135509838,134017481,1492357
16:13,135410847,133881553,1529294
16:12,135329690,133770705,1558985
16:11,135257947,133667670,1590277
16:10,135165840,133535336,1630504
16:09,135073151,133424770,1648381
16:08,134970874,133347820,1623054
16:07,134869130,133240859,1628271
16:06,134792466,133130797,1661669
16:05,134651901,132995596,1656305
16:04,134553195,132915728,1637467
16:03,134459224,132816332,1642892
16:02,134375253,132700098,1675155
16:01,134276798,132578616,1698182
16:00,134145230,132440355,1704875
15:58,134012223,132340723,1671500
15:57,133940740,132192029,1748711
15:56,133835705,132074778,1760927
15:55,133720095,131954056,1766039
15:54,133620115,131835898,1784217
15:53,133504978,131710386,1794592
15:52,133415931,131611570,1804361
15:51,133324298,131517746,1806552
15:49,133144798,131307696,1837102
15:48,133048101,131203696,1844405
15:46,132881116,130961534,1919582
15:45,132779445,130881917,1897528
15:44,132631186,130719195,1911991
15:43,132521842,130602231,1919611
15:41,132387819,130446464,1941355
15:40,132241730,130310463,1931267
15:39,132146099,130176390,1969709
15:38,132030857,130081643,1949214
15:37,131904483,129975896,1928587
15:36,131739730,129854833,1884897
15:34,131561800,129592529,1969271
15:33,131458366,129460622,1997744
15:32,131374894,129366421,2008473
15:30,131259216,129217693,2041523
15:29,131146611,129087095,2059516
15:28,130993299,128943127,2050172
15:27,130867532,128849729,2017803
15:26,130771520,128751866,2019654
15:25,130672469,128607210,2065259
15:23,130550096,128460270,2089826
15:22,130449322,128345471,2103851
15:21,130337599,128260014,2077585
15:20,130228402,128156335,2072067
15:19,130115382,128039560,2075822
15:18,130012461,127932421,2080040
